Rk,Player,Age,Team,Lg,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR
1,Pete Alonso,30,NYM,NL,162,161,162,160,0,0,160,0,0,0,0,0,0,0,2,0,0
2,Elly De La Cruz,23,CIN,NL,162,161,162,158,0,0,0,0,0,158,0,0,0,0,4,1,0
3,Matt Olson,31,ATL,NL,162,162,162,162,0,0,162,0,0,0,0,0,0,0,0,0,0
4,Brent Rooker,30,ATH,AL,162,161,162,27,0,0,0,0,0,0,7,0,21,27,135,1,0
5,Kyle Schwarber,32,PHI,NL,162,162,162,8,0,0,0,0,0,0,8,0,0,8,154,0,0
6,Geraldo Perdomo,25,ARI,NL,161,160,161,161,0,0,0,0,0,161,0,0,0,0,0,1,0
7,Willy Adames,29,SFG,NL,160,160,160,159,0,0,0,0,0,159,0,0,0,0,1,0,0
8,Randy Arozarena,30,SEA,AL,160,160,160,158,0,0,0,0,0,0,158,0,0,158,2,0,0
9,Maikel Garcia,25,KCR,AL,160,157,160,155,0,0,0,11,136,17,0,6,1,7,6,1,1
10,Michael Harris II,24,ATL,NL,160,157,160,160,0,0,0,0,0,0,0,160,0,160,0,2,0
11,Francisco Lindor,31,NYM,NL,160,159,160,158,0,0,0,0,0,158,0,0,0,0,2,1,0
12,Vinnie Pasquantino,27,KCR,AL,160,160,160,126,0,0,126,0,0,0,0,0,0,0,34,0,0
13,Julio Rodríguez,24,SEA,AL,160,159,160,159,0,0,0,0,0,0,0,159,0,159,1,1,0
14,Juan Soto,26,NYM,NL,160,160,160,157,0,0,0,0,0,0,0,0,157,157,3,0,0
15,Manny Machado,32,SDP,NL,159,159,159,145,0,0,0,0,145,0,0,0,0,0,14,0,0
16,Cal Raleigh,28,SEA,AL,159,157,159,121,0,121,0,0,0,0,0,0,0,0,38,2,0
17,Dansby Swanson,31,CHC,NL,159,159,159,159,0,0,0,0,0,159,0,0,0,0,0,0,0
18,Shohei Ohtani,30,LAD,NL,158,158,158,14,14,0,0,0,0,0,0,0,0,0,158,0,0
19,José Ramírez,32,CLE,AL,158,158,158,134,0,0,0,0,134,0,0,0,0,0,26,0,0
20,Tyler Soderstrom,23,ATH,AL,158,145,158,153,0,0,49,0,0,0,108,0,0,108,1,12,0
21,Ozzie Albies,28,ATL,NL,157,157,157,157,0,0,0,157,0,0,0,0,0,0,0,0,0
22,Ernie Clement,29,TOR,AL,157,140,157,154,0,0,15,60,89,29,0,0,0,0,0,9,2
23,J.P. Crawford,30,SEA,AL,157,155,157,157,0,0,0,0,0,157,0,0,0,0,0,0,1
24,Pete Crow-Armstrong,23,CHC,NL,157,154,157,156,0,0,0,0,0,0,0,156,0,156,1,2,0
25,Jarren Duran,28,BOS,AL,157,152,157,156,0,0,0,0,0,0,139,28,2,156,1,5,0
26,Riley Greene,24,DET,AL,157,152,157,133,0,0,0,0,0,0,124,16,1,133,23,4,0
27,Heliot Ramos,25,SFG,NL,157,156,157,154,0,0,0,0,0,0,154,0,0,154,3,1,0
28,Trevor Story,32,BOS,AL,157,155,157,156,0,0,0,0,0,156,0,0,0,0,1,1,1
29,Taylor Ward,31,LAA,AL,157,156,157,153,0,0,0,0,0,0,153,0,0,153,4,1,0
30,Bobby Witt Jr.,25,KCR,AL,157,157,157,154,0,0,0,0,0,154,0,0,0,0,4,0,0
31,James Wood,22,WSN,NL,157,156,157,123,0,0,0,0,0,0,123,0,0,123,33,1,0
32,Vladimir Guerrero Jr.,26,TOR,AL,156,154,156,133,0,0,133,0,0,0,0,0,0,0,24,2,0
33,Nico Hoerner,28,CHC,NL,156,156,156,156,0,0,0,153,0,8,0,0,0,0,0,0,0
34,Steven Kwan,27,CLE,AL,156,156,156,152,0,0,0,0,0,0,152,1,0,152,4,0,0
35,Andy Pages,24,LAD,NL,156,155,156,156,0,0,0,0,0,0,27,121,51,156,0,0,0
36,Ceddanne Rafaela,24,BOS,AL,156,148,156,155,0,0,0,24,0,0,0,141,0,141,0,0,4
37,Brice Turang,25,MIL,NL,156,150,156,154,0,0,0,153,0,3,0,0,0,0,0,5,1
38,Jose Altuve,35,HOU,AL,155,154,155,109,0,0,0,66,0,0,47,0,0,47,49,1,0
