Rk,Name,Age,Tm
1,CJ Abrams,25,WSH
2,Wilyer Abreu,27,BOS
3,Angel Abreu,17,CLE
4,Jhorvic Abreus,20,CLE
5,Victor Acosta,22,CIN
6,Maximo Acosta,23,MIA
7,Ronald Acuña Jr.,28,ATL
8,Luisangel Acuña,24,CWS
9,Francisco Acuña,26,SD
10,Josh Adamczewski,21,MIL
11,Willy Adames,30,SF
12,Riley Adams,30,WSH
13,Luke Adams,22,MIL
14,Jordyn Adams,26,MIL
15,Jo Adell,27,LAA
16,Jonah Advincula,25,CLE
17,Maui Ahuna,24,SF
18,Ozzie Albies,29,ATL
19,Sergio Alcántara,29,WSH
20,Marvin Alcantara,21,BOS
21,Kevin Alcántara,23,CHC
22,Derik Alcantara,21,CHC
23,Alfredo Alcantara,20,CIN
24,Kemp Alderman,23,MIA
25,CJ Alexander,29,HOU
26,Blaze Alexander,27,BAL
27,Edgar Alfonso,22,LAA
28,Omar Alfonzo,22,PIT
29,Eliezer Alfonzo,26,LAD
30,Slate Alford,23,LAA
31,Nick Allen,27,HOU
32,Jay Allen,23,CIN
33,Pete Alonso,31,BAL
34,Wehiwa Aloy,22,BAL
35,Jose Alpuria,21,AZ
36,Jose Altuve,36,HOU
37,Yordan Alvarez,29,HOU
38,Nacho Alvarez Jr.,23,ATL
39,Kevin Alvarez,18,HOU
40,Hayden Alvarez,19,LAA
41,Francisco Alvarez,24,NYM
42,Edgar Alvarez,25,CHC
43,Adael Amador,23,COL
44,Miguel Amaya,27,CHC
45,Jacob Amaya,27,AZ
46,Billy Amick,23,MIN
47,Yunior Amparo,19,NYM
48,Max Anderson,24,DET
49,José Anderson,19,MIL
50,Ethan Anderson,22,BAL
51,Antonio Anderson,21,BOS
52,Bryan Andrade,21,ATH
53,Miguel Andujar,31,SD
54,Euribiel Angeles,24,ATH
55,Roman Anthony,22,BOS
56,Keaton Anthony,25,PHI
57,Mike Antico,28,STL
58,Sam Antonacci,23,CWS
59,Wuilfredo Antunez,24,CLE
60,Andreimi Antunez,19,TB
61,Jonathan Aranda,28,TB
62,Nathan Archer,23,CWS
63,Orlando Arcia,31,MIN
64,Silas Ardoin,25,BAL
65,Jadher Areinamo,22,TB
66,Nolan Arenado,35,AZ
67,Roderick Arias,21,NYY
68,Robert Arias,19,CLE
69,Luis Arias,20,WSH
70,Leandro Arias,21,BAL
71,Isael Arias,20,NYY
72,Gabriel Arias,26,CLE
73,Franklin Arias,20,BOS
74,Ariel Armas,23,CHC
75,Bryce Arnold,24,CLE
76,Randy Arozarena,31,SEA
77,Luis Arráez,29,SF
78,Michael Arroyo,21,SEA
79,Edwin Arroyo,22,CIN
80,Christian Arroyo,31,NYM
81,Chris Arroyo,21,MIA
82,J.T. Arruda,28,SEA
83,Aeverson Arteaga,23,SF
84,Jose Astudillo,22,SF
85,José Aular,22,NYM
86,RJ Austin,22,BAL
87,Drew Avans,30,COL
88,Jace Avina,23,NYY
89,Nicandro Aybar,21,TB
90,Owen Ayers,25,CHC
91,José Azocar,30,ATL
92,Enddy Azocar,19,BOS
93,Akil Baddoo,27,MIL
94,Harrison Bader,32,SF
95,Ji Hwan Bae,26,NYM
96,Nate Baez,25,BOS
97,Juan Baez,21,MIL
98,Joshua Báez,23,STL
99,Jesús Báez,21,STL
100,Javier Báez,33,DET
101,Patrick Bailey,27,SF
102,Luken Baker,29,AZ
103,Dru Baker,26,CWS
104,Darren Baker,27,CWS
105,Leo Balcazar,22,CIN
106,Drake Baldwin,25,ATL
107,Brooks Baldwin,25,CWS
108,Moisés Ballesteros,22,CHC
109,Scott Bandura,24,SF
110,Will Banfield,26,CIN
111,David Bañuelos,29,MIN
112,Rod Barajas,21,SF
113,Addison Barger,26,TOR
114,Jack Barker,21,PHI
115,Isaiah Barkett,22,SF
116,Austin Barnes,36,NYM
117,Tres Barrera,31,WSH
118,Emilio Barreras,22,MIA
119,Jose Barrero,28,BAL
120,Alberto Barriga,21,AZ
121,Gregory Barrios,22,TB
122,Jorge Barrosa,25,AZ
123,Justin Barry,19,BOS
124,Braden Barry,24,TOR
125,Cameron Barstad,25,CLE
126,Joey Bart,29,PIT
127,Osleivis Basabe,25,SF
128,Samuel Basallo,21,BAL
129,Jayson Bass,20,MIN
130,Jesús Bastidas,27,MIA
131,Brett Bateman,24,CHC
132,Andry Batista,19,TEX
133,Brett Baty,26,NYM
134,Jake Bauers,30,MIL
135,Israfell Bautista,19,TB
136,John Bay,25,NYM
137,Travis Bazzana,23,CLE
138,Dylan Beavers,24,BAL
139,Jordan Beck,25,COL
140,Colton Becker,25,KC
141,Josh Bell,33,MIN
142,Cody Bellinger,30,NYY
143,Carson Benge,23,NYM
144,Andrew Benintendi,31,CWS
145,Juan Benjamin,23,CLE
146,Will Benson,28,CIN
147,Alexander Benua,22,AZ
148,Derek Berg,24,PIT
149,William Bergolla,21,CWS
150,Victor Bericoto,24,SF
151,Warming Bernabel,24,WSH
152,Leonardo Bernal,22,STL
153,Jacob Berry,25,MIA
154,Jay Beshears,24,MIA
155,Bryant Betancourt,22,COL
156,Freiker Betencourt,17,CHC
157,Christian Bethancourt,34,CHC
158,Mookie Betts,33,LAD
159,Bo Bichette,28,NYM
160,Nick Biddison,25,PHI
161,Justice Bigbie,27,DET
162,Jax Biggers,29,HOU
163,Cavan Biggio,31,HOU
